[2019-09-11 18:47:21,781] {add_financial_year_master.py:63} INFO - Financial_year_Master Details posted succesfully
[2019-09-11 18:47:37,381] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
[2019-09-11 18:47:43,980] {add_financial_year_master.py:63} INFO - Financial_year_Master Details posted succesfully
[2019-09-11 18:47:44,529] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
[2019-09-11 18:47:50,615] {add_financial_year_master.py:63} INFO - Financial_year_Master Details posted succesfully
[2019-09-11 18:47:51,253] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
[2019-09-11 19:32:31,677] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
[2019-09-12 09:17:29,275] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
[2019-09-12 09:17:42,324] {add_financial_year_master.py:36} INFO - getting data of Financial_year_Master details is success
